,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,TCI_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus,msto
1,0.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,52.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,65.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,78.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,169.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,182.0,57.8,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,195.0,57.6,46.0,48.4,46.9,39.2,0.0,196.4,1.0,0.0,0.0,1.0,0.0,0.0,26.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
